procedure_ID,procedure_Def
023 , CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE
025 , CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC
027 , CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC
037 , EXTRACRANIAL PROCEDURES W MCC
038 , EXTRACRANIAL PROCEDURES W CC
039 , EXTRACRANIAL PROCEDURES W/O CC/MCC
054 , NERVOUS SYSTEM NEOPLASMS W MCC
056 , DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC
057 , DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC
062 ," ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROM"
064 , INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC
065 , INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS
066 , INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC
069 , TRANSIENT ISCHEMIA
070 , NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC
071 , NONSPECIFIC CEREBROVASCULAR DISORDERS W CC
073 , CRANIAL & PERIPHERAL NERVE DISORDERS W MCC
074 , CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC
086 ," TRAUMATIC STUPOR & COMA, COMA <1 HR W CC"
087 ," TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC"
091 , OTHER DISORDERS OF NERVOUS SYSTEM W MCC
092 , OTHER DISORDERS OF NERVOUS SYSTEM W CC
100 , SEIZURES W MCC
101 , SEIZURES W/O MCC
103 , HEADACHES W/O MCC
149 , DYSEQUILIBRIUM
163 , MAJOR CHEST PROCEDURES W MCC
164 , MAJOR CHEST PROCEDURES W CC
166 , OTHER RESP SYSTEM O.R. PROCEDURES W MCC
176 , PULMONARY EMBOLISM W/O MCC
177 , RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC
180 , RESPIRATORY NEOPLASMS W MCC
189 , PULMONARY EDEMA & RESPIRATORY FAILURE
190 , CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC
191 , CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC
192 , CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC
193 , SIMPLE PNEUMONIA & PLEURISY W MCC
194 , SIMPLE PNEUMONIA & PLEURISY W CC
195 , SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC
202 , BRONCHITIS & ASTHMA W CC/MCC
203 , BRONCHITIS & ASTHMA W/O CC/MCC
207 , RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS
208 , RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS
216 , CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC
229 , OTHER CARDIOTHORACIC PROCEDURES W/O MCC
233 , CORONARY BYPASS W CARDIAC CATH W MCC
234 , CORONARY BYPASS W CARDIAC CATH W/O MCC
236 , CORONARY BYPASS W/O CARDIAC CATH W/O MCC
242 , PERMANENT CARDIAC PACEMAKER IMPLANT W MCC
243 , PERMANENT CARDIAC PACEMAKER IMPLANT W CC
244 , PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC
246 , PERC CARDIOVASC PROC W DRUG
247 , PERC CARDIOVASC PROC W DRUG
252 , OTHER VASCULAR PROCEDURES W MCC
264 , OTHER CIRCULATORY SYSTEM O.R. PROCEDURES
269 , AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC
270 , OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC
271 , OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC
280 ," ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"
281 ," ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"
282 ," ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"
283 ," ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC"
286 ," CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"
287 ," CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"
291 , HEART FAILURE & SHOCK W MCC
292 , HEART FAILURE & SHOCK W CC
293 , HEART FAILURE & SHOCK W/O CC/MCC
299 , PERIPHERAL VASCULAR DISORDERS W MCC
300 , PERIPHERAL VASCULAR DISORDERS W CC
303 , ATHEROSCLEROSIS W/O MCC
304 , HYPERTENSION W MCC
305 , HYPERTENSION W/O MCC
308 , CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC
309 , CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC
310 , CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC
312 , SYNCOPE & COLLAPSE
313 , CHEST PAIN
314 , OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC
315 , OTHER CIRCULATORY SYSTEM DIAGNOSES W CC
329 , MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC
330 , MAJOR SMALL & LARGE BOWEL PROCEDURES W CC
331 , MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC
356 , OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC
371 , MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC
372 , MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC
377 , G.I. HEMORRHAGE W MCC
378 , G.I. HEMORRHAGE W CC
388 , G.I. OBSTRUCTION W MCC
389 , G.I. OBSTRUCTION W CC
390 , G.I. OBSTRUCTION W/O CC/MCC
391 ," ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC"
392 ," ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"
393 , OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC
394 , OTHER DIGESTIVE SYSTEM DIAGNOSES W CC
417 , LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC
418 , LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC
419 , LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC
432 , CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC
435 , MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC
439 , DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC
440 , DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC
441 ," DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC"
442 ," DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC"
460 , SPINAL FUSION EXCEPT CERVICAL W/O MCC
467 , REVISION OF HIP OR KNEE REPLACEMENT W CC
469 , MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREM
470 , MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC
472 , CERVICAL SPINAL FUSION W CC
473 , CERVICAL SPINAL FUSION W/O CC/MCC
480 , HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC
481 , HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC
483 , MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES
493 ," LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC"
516 , OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC
536 , FRACTURES OF HIP & PELVIS W/O MCC
543 , PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC
551 , MEDICAL BACK PROBLEMS W MCC
552 , MEDICAL BACK PROBLEMS W/O MCC
563 ," FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC"
603 , CELLULITIS W/O MCC
637 , DIABETES W MCC
638 , DIABETES W CC
639 , DIABETES W/O CC/MCC
640 ," MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"
641 ," MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"
658 , KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC
673 , OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC
682 , RENAL FAILURE W MCC
683 , RENAL FAILURE W CC
689 , KIDNEY & URINARY TRACT INFECTIONS W MCC
690 , KIDNEY & URINARY TRACT INFECTIONS W/O MCC
698 , OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC
699 , OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC
708 , MAJOR MALE PELVIC PROCEDURES W/O CC/MCC
781 , OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS
811 , RED BLOOD CELL DISORDERS W MCC
812 , RED BLOOD CELL DISORDERS W/O MCC
813 , COAGULATION DISORDERS
840 , LYMPHOMA & NON
853 , INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC
854 , INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC
862 , POSTOPERATIVE & POST
870 , SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS
871 , SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC
872 , SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC
881 , DEPRESSIVE NEUROSES
884 , ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY
885 , PSYCHOSES
896 , ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC
897 , ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC
917 , POISONING & TOXIC EFFECTS OF DRUGS W MCC
918 , POISONING & TOXIC EFFECTS OF DRUGS W/O MCC
919 , COMPLICATIONS OF TREATMENT W MCC
920 , COMPLICATIONS OF TREATMENT W CC
981 , EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC
982 , EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC
178 , RESPIRATORY INFECTIONS & INFLAMMATIONS W CC
253 , OTHER VASCULAR PROCEDURES W CC
254 , OTHER VASCULAR PROCEDURES W/O CC/MCC
379 , G.I. HEMORRHAGE W/O CC/MCC
482 , HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC
621 , O.R. PROCEDURES FOR OBESITY W/O CC/MCC
684 , RENAL FAILURE W/O CC/MCC
948 , SIGNS & SYMPTOMS W/O MCC
175 , PULMONARY EMBOLISM W MCC
199 , PNEUMOTHORAX W MCC
206 , OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC
251 , PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC
268 , AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC
301 , PERIPHERAL VASCULAR DISORDERS W/O CC/MCC
445 , DISORDERS OF THE BILIARY TRACT W CC
669 , TRANSURETHRAL PROCEDURES W CC
004 ," TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R."
220 , CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC
266 , ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC
327 ," STOMACH, ESOPHAGEAL & DUODENAL PROC W CC"
602 , CELLULITIS W MCC
249 , PERC CARDIOVASC PROC W NON
694 , URINARY STONES W/O ESW LITHOTRIPSY W/O MCC
153 , OTITIS MEDIA & URI W/O MCC
895 , ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY
003 ," ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R."
186 , PLEURAL EFFUSION W MCC
187 , PLEURAL EFFUSION W CC
204 , RESPIRATORY SIGNS & SYMPTOMS
239 , AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC
240 , AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC
438 , DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC
455 , COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC
494 ," LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC"
